log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
1700650664660412555,body,659994632,1700650664,0.21378062665462494,0.03,0.2677215337753296,0.03,0.21759581565856934,0.03
1700650664669989795,body,669911074,1700650664,0.21358740329742432,0.03,0.26838961243629456,0.03,0.21761807799339294,0.03
1700650664679972623,body,679881358,1700650664,0.2122003138065338,0.03,0.2686002552509308,0.03,0.21875417232513428,0.03
1700650664689986329,body,689890920,1700650664,0.2123417854309082,0.03,0.26833730936050415,0.03,0.2188096046447754,0.03
1700650664699954806,body,699875870,1700650664,0.21392151713371277,0.03,0.26675212383270264,0.03,0.21714843809604645,0.03
1700650664709946455,body,709876363,1700650664,0.2141173928976059,0.03,0.26819512248039246,0.03,0.2175869196653366,0.03
1700650664719987769,body,719880720,1700650664,0.2116723209619522,0.03,0.27019548416137695,0.03,0.21783891320228577,0.03
1700650664730047635,body,729930057,1700650664,0.2122718095779419,0.03,0.2696271240711212,0.03,0.21799737215042114,0.03
1700650664739915688,body,739824346,1700650664,0.21156388521194458,0.03,0.26956620812416077,0.03,0.21835890412330627,0.03
1700650664749968041,body,749890348,1700650664,0.7582480907440186,0.03,0.09824807941913605,0.03,0.6705033779144287,0.03
1700650664759945434,body,759862462,1700650664,0.758033275604248,0.03,0.09776820242404938,0.03,0.6718331575393677,0.03
1700650664769925259,body,769853852,1700650664,0.7574660778045654,0.03,0.09753619134426117,0.03,0.67227703332901,0.03
1700650664779961913,body,779887612,1700650664,0.7571009397506714,0.03,0.09834511578083038,0.03,0.6720625162124634,0.03
1700650664789935897,body,789869188,1700650664,0.757947564125061,0.03,0.09786687791347504,0.03,0.6706089973449707,0.03
1700650664799974691,body,799874638,1700650664,0.7558801174163818,0.03,0.10046131908893585,0.03,0.6713470220565796,0.03
1700650664809940149,body,809870018,1700650664,0.7569785714149475,0.03,0.09987841546535492,0.03,0.6697624921798706,0.03
1700650664819985379,body,819875374,1700650664,0.7574763298034668,0.03,0.09877292811870575,0.03,0.6712573766708374,0.03
1700650664830100613,body,829924103,1700650664,0.7557410001754761,0.03,0.09983424842357635,0.03,0.6724436283111572,0.03
1700650664839953839,body,839869689,1700650664,0.7554908990859985,0.03,0.09836550056934357,0.03,0.6734625101089478,0.03
1700650664849970456,body,849896240,1700650664,0.7570179104804993,0.03,0.09944786131381989,0.03,0.6719492077827454,0.03
1700650664859933050,body,859872960,1700650664,0.7589724659919739,0.03,0.09912578761577606,0.03,0.6696681976318359,0.03
1700650664869944195,body,869850721,1700650664,0.757733166217804,0.03,0.0999838262796402,0.03,0.6703686714172363,0.03
1700650664879971135,body,879883849,1700650664,0.757148802280426,0.03,0.10025931894779205,0.03,0.6705021262168884,0.03
1700650664889980554,body,889888855,1700650664,0.7576059699058533,0.03,0.09804563224315643,0.03,0.6711581349372864,0.03
1700650664900123591,body,899937725,1700650664,0.7558108568191528,0.03,0.09955571591854095,0.03,0.671852707862854,0.03
1700650664910383847,body,909931079,1700650664,0.7564553618431091,0.03,0.09935919940471649,0.03,0.6714661121368408,0.03
1700650664920017146,body,919906845,1700650664,0.7563509345054626,0.03,0.09922726452350616,0.03,0.6717009544372559,0.03
1700650664929943954,body,929862344,1700650664,0.7576565742492676,0.03,0.09876112639904022,0.03,0.6703356504440308,0.03
1700650664939962090,body,939885514,1700650664,0.7581582069396973,0.03,0.09974850714206696,0.03,0.6701668500900269,0.03
1700650664950041712,body,949919517,1700650664,0.6902806758880615,0.03,0.9274897575378418,0.03,0.03,0.2668074071407318
1700650664959936103,body,959865905,1700650664,0.6910845637321472,0.03,0.9271492958068848,0.03,0.03,0.2664879560470581
1700650664969971066,body,969882286,1700650664,0.689842700958252,0.03,0.9269583225250244,0.03,0.03,0.26622939109802246
1700650664979974403,body,979872337,1700650664,0.6916182637214661,0.03,0.9254485368728638,0.03,0.03,0.2661675810813904
1700650664989994335,body,989892604,1700650664,0.6921186447143555,0.03,0.9250802397727966,0.03,0.03,0.2661168873310089
1700650664999926414,body,999845066,1700650664,0.6899448037147522,0.03,0.92686927318573,0.03,0.03,0.2659061551094055
1700650665009901409,body,9828842,1700650665,0.6903770565986633,0.03,0.9271899461746216,0.03,0.03,0.26627057790756226
1700650665019976618,body,19891615,1700650665,0.6898292899131775,0.03,0.9282395839691162,0.03,0.03,0.2659159302711487
1700650665029939158,body,29872910,1700650665,0.6896523237228394,0.03,0.92822265625,0.03,0.03,0.26557689905166626
1700650665039939515,body,39854124,1700650665,0.6901839375495911,0.03,0.9269616007804871,0.03,0.03,0.26599860191345215
1700650665049953631,body,49892450,1700650665,0.6912887692451477,0.03,0.9267939329147339,0.03,0.03,0.26654088497161865
1700650665059942854,body,59883007,1700650665,0.6924342513084412,0.03,0.9258660078048706,0.03,0.03,0.26720982789993286
1700650665070475590,body,70153552,1700650665,0.6919584274291992,0.03,0.9265428781509399,0.03,0.03,0.2672971487045288
1700650665080055399,body,79939119,1700650665,0.6922723650932312,0.03,0.9263643026351929,0.03,0.03,0.26725146174430847
1700650665089927317,body,89866903,1700650665,0.6921359896659851,0.03,0.9260880947113037,0.03,0.03,0.2669786810874939
1700650665099923247,body,99866717,1700650665,0.690660297870636,0.03,0.9261924028396606,0.03,0.03,0.26570361852645874
1700650665109959601,body,109893430,1700650665,0.6891205906867981,0.03,0.9272848963737488,0.03,0.03,0.26493316888809204
1700650665119941539,body,119869589,1700650665,0.6896613836288452,0.03,0.9264854192733765,0.03,0.03,0.264831006526947
1700650665129940379,body,129873813,1700650665,0.691139817237854,0.03,0.9259994626045227,0.03,0.03,0.26580703258514404
1700650665139940013,body,139866170,1700650665,0.6910470128059387,0.03,0.9261771440505981,0.03,0.03,0.26580798625946045
1700650665150061003,body,149876220,1700650665,0.6910499334335327,0.03,0.9250406622886658,0.03,0.03,0.2648228406906128
1700650665159942100,body,159871099,1700650665,0.03,0.053207576274871826,0.6975231170654297,0.03,0.03,0.1345621794462204
1700650665169981908,body,169925571,1700650665,0.03,0.05192829668521881,0.6961033344268799,0.03,0.03,0.13549773395061493
1700650665179973519,body,179885557,1700650665,0.03,0.05021309852600098,0.6947746872901917,0.03,0.03,0.13657067716121674
1700650665189941662,body,189869019,1700650665,0.03,0.04872344434261322,0.6959155201911926,0.03,0.03,0.1379808783531189
1700650665200100564,body,200036818,1700650665,0.03,0.051431745290756226,0.6981281638145447,0.03,0.03,0.13802169263362885
1700650665209945646,body,209875628,1700650665,0.03,0.051707178354263306,0.6978696584701538,0.03,0.03,0.13780876994132996
1700650665219947609,body,219875455,1700650665,0.03,0.051723986864089966,0.6973905563354492,0.03,0.03,0.13698379695415497
1700650665230185794,body,230062243,1700650665,0.03,0.0511317253112793,0.6970962285995483,0.03,0.03,0.13725456595420837
1700650665239913864,body,239849111,1700650665,0.03,0.0492757111787796,0.6958569288253784,0.03,0.03,0.13765890896320343
1700650665249940481,body,249884654,1700650665,0.03,0.04996997117996216,0.6957690119743347,0.03,0.03,0.13608883321285248
1700650665259983144,body,259893891,1700650665,0.03,0.05245335400104523,0.6979328393936157,0.03,0.03,0.13649867475032806
1700650665269947529,body,269872895,1700650665,0.03,0.04997822642326355,0.6959952712059021,0.03,0.03,0.13762986660003662
1700650665279924553,body,279831234,1700650665,0.03,0.05178096890449524,0.6992521286010742,0.03,0.03,0.13710060715675354
1700650665289939703,body,289861281,1700650665,0.03,0.05044858157634735,0.6974769830703735,0.03,0.03,0.13854454457759857
1700650665299953481,body,299863088,1700650665,0.03,0.049562692642211914,0.6966502666473389,0.03,0.03,0.13782015442848206
1700650665309952434,body,309868529,1700650665,0.03,0.05217874050140381,0.6986737847328186,0.03,0.03,0.13641084730625153
1700650665319924928,body,319860804,1700650665,0.03,0.050458505749702454,0.6953005194664001,0.03,0.03,0.1363077461719513
1700650665329978138,body,329881067,1700650665,0.03,0.05127875506877899,0.6958639621734619,0.03,0.03,0.1347169131040573
1700650665339940236,body,339872856,1700650665,0.03,0.051230207085609436,0.6973100900650024,0.03,0.03,0.13611231744289398
