log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
1709651571230207968,body,230122873,1709651571,0.13116130232810974,0.03,0.03,0.18625348806381226,0.17478422820568085,0.03
1709651571240210144,body,240126811,1709651571,0.141373410820961,0.03,0.03,0.19099931418895721,0.17826981842517853,0.03
1709651571250193788,body,250127576,1709651571,0.14424613118171692,0.03,0.03,0.19378280639648438,0.18666480481624603,0.03
1709651571260307595,body,260154644,1709651571,0.14537757635116577,0.03,0.03,0.1991254985332489,0.19928228855133057,0.03
1709651571270152138,body,270090705,1709651571,0.14033827185630798,0.03,0.03,0.18774928152561188,0.1743452548980713,0.03
1709651571280199220,body,280136781,1709651571,0.1436074674129486,0.03,0.03,0.18346354365348816,0.1632445752620697,0.03
1709651571290136731,body,290081546,1709651571,0.14386695623397827,0.03,0.03,0.17187707126140594,0.13997989892959595,0.03
1709651571300180038,body,300095998,1709651571,0.15401104092597961,0.03,0.03,0.2046690434217453,0.20339906215667725,0.03
1709651571310243396,body,310166022,1709651571,0.1507110446691513,0.03,0.03,0.2112838327884674,0.21145254373550415,0.03
1709651571320161306,body,320089323,1709651571,0.14244242012500763,0.03,0.03,0.19120752811431885,0.1602124273777008,0.03
1709651571330169689,body,330107731,1709651571,0.1436903476715088,0.03,0.03,0.1788708120584488,0.13902603089809418,0.03
1709651571340198413,body,340120807,1709651571,0.14718949794769287,0.03,0.03,0.16930681467056274,0.12616851925849915,0.03
1709651571350160460,body,350092317,1709651571,0.6912041902542114,0.03,0.03,0.365420401096344,0.617399275302887,0.03
1709651571360125262,body,360074365,1709651571,0.6912516951560974,0.03,0.03,0.3782244920730591,0.6220614910125732,0.03
1709651571370141553,body,370088152,1709651571,0.689960241317749,0.03,0.03,0.3790546655654907,0.6271904706954956,0.03
1709651571380204903,body,380108816,1709651571,0.6948655247688293,0.03,0.03,0.3857629895210266,0.6483522057533264,0.03
1709651571390145208,body,390079848,1709651571,0.6901935338973999,0.03,0.03,0.3800935447216034,0.6490066051483154,0.03
1709651571400171196,body,400103245,1709651571,0.6906139254570007,0.03,0.03,0.38049471378326416,0.6514370441436768,0.03
1709651571410167127,body,410099500,1709651571,0.699717104434967,0.03,0.03,0.36655113101005554,0.6181166768074036,0.03
1709651571420189950,body,420081004,1709651571,0.6936208009719849,0.03,0.03,0.3620326519012451,0.6292663216590881,0.03
1709651571430154590,body,430098016,1709651571,0.7003489136695862,0.03,0.03,0.3787626624107361,0.6454549431800842,0.03
