log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
1709652644831538741,body,831455393,1709652644,0.12845838069915771,0.03,0.03,0.24436134099960327,0.189601331949234,0.03
1709652644841521462,body,841450669,1709652644,0.12370119988918304,0.03,0.03,0.23372837901115417,0.1710338443517685,0.03
1709652644851923543,body,851596298,1709652644,0.12778340280056,0.03,0.03,0.2263118475675583,0.16032931208610535,0.03
1709652644861522253,body,861435311,1709652644,0.12624894082546234,0.03,0.03,0.22519966959953308,0.16200804710388184,0.03
1709652644871515989,body,871449104,1709652644,0.12463908642530441,0.03,0.03,0.2304457724094391,0.1650697886943817,0.03
1709652644881538737,body,881461580,1709652644,0.1275537759065628,0.03,0.03,0.23527438938617706,0.1667613834142685,0.03
1709652644891535566,body,891448626,1709652644,0.13286030292510986,0.03,0.03,0.2450234293937683,0.17741450667381287,0.03
1709652644901513291,body,901453967,1709652644,0.13533920049667358,0.03,0.03,0.2520137131214142,0.1785036027431488,0.03
1709652644911556520,body,911469805,1709652644,0.1356322467327118,0.03,0.03,0.24923920631408691,0.17259053885936737,0.03
1709652644921550841,body,921460842,1709652644,0.13754341006278992,0.03,0.03,0.24865476787090302,0.1746300309896469,0.03
1709652644931553912,body,931456768,1709652644,0.13822458684444427,0.03,0.03,0.24915039539337158,0.17609380185604095,0.03
1709652644941618994,body,941464736,1709652644,0.136769101023674,0.03,0.03,0.24812151491641998,0.17866398394107819,0.03
1709652644951560773,body,951461004,1709652644,0.1420576125383377,0.03,0.03,0.25021207332611084,0.18351241946220398,0.03
1709652644961638720,body,961501282,1709652644,0.13798099756240845,0.03,0.03,0.24634577333927155,0.17956924438476562,0.03
1709652644971618720,body,971488675,1709652644,0.13947856426239014,0.03,0.03,0.24417999386787415,0.17547816038131714,0.03
1709652644981600806,body,981484625,1709652644,0.1418292075395584,0.03,0.03,0.24834920465946198,0.1765729933977127,0.03
