log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
1709652891805971645,body,805851623,1709652891,0.03,0.03,0.03,0.06024690717458725,0.03,0.03
1709652891815828647,body,815759361,1709652891,0.03,0.03,0.03,0.06558605283498764,0.03,0.03
1709652891825836260,body,825756939,1709652891,0.03,0.03,0.03,0.06489615887403488,0.03,0.03
1709652891835839142,body,835764314,1709652891,0.03,0.03,0.03,0.06505998969078064,0.03,0.03
1709652891845783822,body,845717729,1709652891,0.03,0.03,0.03,0.0698314756155014,0.03743830323219299,0.03
1709652891855843864,body,855751158,1709652891,0.03,0.03,0.03,0.05924758315086365,0.03,0.03
1709652891865866116,body,865762384,1709652891,0.03,0.03,0.03,0.047603100538253784,0.03,0.03
1709652891875867761,body,875762818,1709652891,0.03,0.03,0.03,0.05257497727870941,0.03,0.03
1709652891885847565,body,885753409,1709652891,0.03,0.03,0.03,0.05688122287392616,0.03,0.03
1709652891895829621,body,895752590,1709652891,0.03,0.03,0.03,0.06037846580147743,0.03,0.03
1709652891905833501,body,905756423,1709652891,0.03,0.03,0.03,0.060770634561777115,0.03,0.03
1709652891915889687,body,915782323,1709652891,0.03,0.03,0.03,0.04217701032757759,0.03,0.03
1709652891925849481,body,925761465,1709652891,0.03,0.03,0.03,0.05364256724715233,0.03,0.03
1709652891935895756,body,935774068,1709652891,0.03,0.03,0.03,0.05567310377955437,0.03,0.03
1709652891945827374,body,945749879,1709652891,0.03,0.03,0.03,0.06492697447538376,0.03,0.03
1709652891955852448,body,955768898,1709652891,0.03,0.03,0.03,0.06629844009876251,0.03,0.03
1709652891965927504,body,965796066,1709652891,0.03,0.03,0.03,0.043468888849020004,0.03,0.03
1709652891975941152,body,975800858,1709652891,0.03,0.03,0.03,0.039912544190883636,0.03,0.03
1709652891985889237,body,985780801,1709652891,0.03,0.03,0.03,0.05219874531030655,0.03,0.03
1709652891995956333,body,995808271,1709652891,0.03,0.03,0.03,0.05537721514701843,0.03,0.03
1709652892005944851,body,5802978,1709652892,0.5679661631584167,0.03,0.03,0.2243846356868744,0.464992880821228,0.03
1709652892015922315,body,15791972,1709652892,0.563581109046936,0.03,0.03,0.2314346730709076,0.4837440252304077,0.03
1709652892025880024,body,25785201,1709652892,0.559958815574646,0.03,0.03,0.23086366057395935,0.483461856842041,0.03
1709652892035967204,body,35822434,1709652892,0.564382791519165,0.03,0.03,0.24103489518165588,0.4948740005493164,0.03
1709652892045955973,body,45819417,1709652892,0.5836463570594788,0.03,0.03,0.23852530121803284,0.479695200920105,0.03
1709652892055987973,body,55781412,1709652892,0.5804455280303955,0.03,0.03,0.2404194176197052,0.48455795645713806,0.03
1709652892065911997,body,65803160,1709652892,0.5875062942504883,0.03,0.03,0.24325796961784363,0.48589107394218445,0.03
1709652892075921562,body,75803158,1709652892,0.5826757550239563,0.03,0.03,0.22677211463451385,0.47074463963508606,0.03
1709652892086065043,body,85867191,1709652892,0.5600219368934631,0.03,0.03,0.2158609926700592,0.4712977111339569,0.03
1709652892095980352,body,95812519,1709652892,0.5241190195083618,0.03,0.03,0.2033395916223526,0.4627295732498169,0.03
1709652892105985455,body,105832793,1709652892,0.4802756905555725,0.03,0.03,0.1495526283979416,0.4271576404571533,0.03
1709652892115996472,body,115835507,1709652892,0.4443918466567993,0.03,0.03,0.09651629626750946,0.3843534588813782,0.03
1709652892126024154,body,125837387,1709652892,0.3874521255493164,0.03,0.03,0.051106229424476624,0.3196701109409332,0.03
1709652892135972030,body,135825105,1709652892,0.3500174880027771,0.03,0.03,0.0412360280752182,0.2811398506164551,0.03
1709652892145999399,body,145832674,1709652892,0.3069721460342407,0.03,0.03,0.052698731422424316,0.2383350431919098,0.03
1709652892156018774,body,155852656,1709652892,0.27293655276298523,0.03,0.03,0.05235278606414795,0.2007024884223938,0.03
1709652892166000237,body,165832455,1709652892,0.2409771978855133,0.03,0.03,0.06537392735481262,0.15277716517448425,0.03
1709652892176064295,body,175867773,1709652892,0.20986899733543396,0.03,0.03,0.05490811914205551,0.11771568655967712,0.03
1709652892186033432,body,185841566,1709652892,0.17707973718643188,0.03,0.03,0.030999377369880676,0.08022454380989075,0.03
1709652892196097293,body,195887751,1709652892,0.15153372287750244,0.03,0.03,0.03162297606468201,0.05704408884048462,0.03
1709652892205995467,body,205832113,1709652892,0.07071909308433533,0.03,0.7958366870880127,0.03,0.03,0.9168035984039307
1709652892215967129,body,215793479,1709652892,0.062124401330947876,0.03,0.7820987105369568,0.03,0.03,0.928760290145874
1709652892225995586,body,225825301,1709652892,0.05872258543968201,0.03,0.7334638237953186,0.03,0.03,0.9387267827987671
1709652892236034023,body,235828686,1709652892,0.06673792004585266,0.03,0.6469830274581909,0.03,0.03,0.9563421010971069
1709652892246097592,body,245870782,1709652892,0.07786747813224792,0.03,0.6403096318244934,0.03,0.03,0.9688493013381958
1709652892256030473,body,255842194,1709652892,0.08363771438598633,0.03,0.6106094121932983,0.03,0.03,0.9670827388763428
1709652892266001976,body,265826287,1709652892,0.0860958993434906,0.03,0.6074962615966797,0.03,0.03,0.9442654848098755
1709652892275893877,body,275782886,1709652892,0.09987419843673706,0.03,0.577111005783081,0.03,0.03,0.9191809296607971
1709652892285901322,body,285791472,1709652892,0.10504311323165894,0.03,0.5529062747955322,0.03,0.03,0.8753575086593628
1709652892296050080,body,295854126,1709652892,0.10689195990562439,0.03,0.5482240915298462,0.03,0.03,0.7809691429138184
1709652892306160210,body,305924965,1709652892,0.09002378582954407,0.03,0.5573580861091614,0.03,0.03,0.6770658493041992
1709652892316131431,body,315888361,1709652892,0.10260069370269775,0.03,0.5716118812561035,0.03,0.03,0.5244912505149841
1709652892326079070,body,325857591,1709652892,0.11409646272659302,0.03,0.5422544479370117,0.03,0.03,0.3570598363876343
1709652892335968474,body,335831269,1709652892,0.11745759844779968,0.03,0.533346951007843,0.03,0.03,0.24612151086330414
