log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,motor_a_1,motor_a_2,motor_b_1,motor_b_2,motor_c_1,motor_c_2
1709653237834650706,body,834597473,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237844637855,body,844593906,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237854681315,body,854593756,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237864669471,body,864595824,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237874663321,body,874602278,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237884649714,body,884575684,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237894594976,body,894539421,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237904637890,body,904568210,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237914682012,body,914600532,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237924696706,body,924627079,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237934671459,body,934592184,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237944689734,body,944578783,1709653237,0.03,0.03,0.03,0.03,0.03,0.03
1709653237954676208,body,954604241,1709653237,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653237964657424,body,964601395,1709653237,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653237974657843,body,974599529,1709653237,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653237984682081,body,984606516,1709653237,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653237994662974,body,994579178,1709653237,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238004662022,body,4596280,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238014670566,body,14582540,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238024664491,body,24612880,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238034655088,body,34580383,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238044637810,body,44569966,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238054675251,body,54608554,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238064680337,body,64602492,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238074690092,body,74614494,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238084667281,body,84593003,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238094677563,body,94606734,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238104679943,body,104588005,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238114678325,body,114597490,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238124660491,body,124596898,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238134672841,body,134602162,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238144652312,body,144584925,1709653238,0.5284237861633301,0.03,0.03,0.14939811825752258,0.4574276804924011,0.03
1709653238154701339,body,154607317,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238164703160,body,164627455,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238174710983,body,174611620,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238184668700,body,184607820,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238194672286,body,194597685,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238204681616,body,204613004,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238214695462,body,214591810,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238224662045,body,224593196,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238234674760,body,234603214,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238244680874,body,244608619,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238254674693,body,254603221,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238264685722,body,264587439,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238274679875,body,274593573,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238284688396,body,284599405,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238294642159,body,294579498,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238304643906,body,304569284,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238314626079,body,314577437,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238324714320,body,324631688,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238334714192,body,334588943,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238344667971,body,344584109,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238354653370,body,354571637,1709653238,0.4616274833679199,0.03,0.6782249808311462,0.03,0.03,0.4794488847255707
1709653238364665481,body,364590304,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238374663872,body,374590328,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238384637254,body,384572324,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238394669830,body,394601613,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238404674415,body,404613943,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238414666195,body,414599519,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238424656813,body,424593236,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238434728143,body,434611109,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238444674443,body,444600991,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238454672329,body,454595893,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238464660522,body,464611209,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238474662637,body,474599799,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238484665451,body,484598056,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238494694293,body,494607169,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238504746063,body,504694086,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238514655502,body,514573183,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238524638920,body,524582190,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238534676393,body,534592792,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238544641064,body,544591265,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238554664294,body,554593976,1709653238,0.03,0.2795201539993286,0.44875654578208923,0.03,0.03,0.35109153389930725
1709653238564665443,body,564606109,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238574639993,body,574580107,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238584711930,body,584621364,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238594785377,body,594645543,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238604722588,body,604617039,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238614680012,body,614613855,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238624650417,body,624564326,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238634706803,body,634607046,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238644656749,body,644599996,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238654706702,body,654613022,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238664667917,body,664605978,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238674671943,body,674599137,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238684676605,body,684611116,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238694725901,body,694627943,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238704654787,body,704595726,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238714680707,body,714599882,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238724721166,body,724605195,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238734684840,body,734585114,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238744654483,body,744592834,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238754663096,body,754606339,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
1709653238764658766,body,764589105,1709653238,0.07047538459300995,0.03,0.03,0.03,0.21066239476203918,0.03
